iter	Passed	Remaining
602	31781	20924
603	31859	20887
604	31912	20835
605	31968	20784
606	32012	20726
607	32070	20676
608	32118	20621
609	32178	20573
610	32251	20533
611	32330	20497
612	32404	20457
613	32474	20415
614	32527	20362
615	32587	20313
616	32643	20263
617	32698	20211
618	32750	20157
619	32836	20125
620	32922	20092
621	33014	20063
622	33088	20022
623	33171	19987
624	33295	19977
625	33412	19962
626	33503	19930
627	33581	19892
628	33673	19861
629	33757	19825
630	33841	19789
631	33914	19747
632	33993	19708
633	34059	19662
634	34145	19626
635	34232	19591
636	34319	19557
637	34403	19520
638	34480	19479
639	34562	19441
640	34640	19401
641	34715	19358
642	34785	19313
643	34872	19277
644	34948	19235
645	35031	19196
646	35090	19145
647	35154	19096
648	35214	19045
649	35297	19006
650	35369	18961
651	35431	18911
652	35507	18868
653	35589	18828
654	35652	18779
655	35717	18730
656	35779	18679
657	35834	18625
658	35903	18578
659	35966	18528
660	36030	18478
661	36089	18426
662	36157	18378
663	36224	18330
664	36295	18284
665	36359	18234
666	36440	18193
667	36500	18141
668	36580	18098
669	36658	18055
670	36727	18008
671	36802	17963
672	37000	17978
673	37131	17959
674	37226	17923
675	37306	17880
676	37370	17829
677	37436	17779
678	37503	17730
679	37573	17681
680	37639	17631
681	37700	17578
682	37768	17529
683	37824	17474
684	37875	17417
685	37934	17363
686	37984	17305
687	38050	17255
688	38127	17210
689	38201	17163
690	38262	17110
691	38329	17060
692	38392	17007
693	38444	16950
694	38507	16899
695	38581	16851
696	38635	16795
697	38697	16743
698	38773	16696
699	38836	16644
700	38912	16597
701	38973	16544
702	39041	16494
703	39094	16437
704	39157	16384
705	39223	16333
706	39284	16280
707	39338	16224
708	39402	16172
709	39483	16127
710	39567	16082
711	39674	16048
712	39786	16015
713	39884	15976
714	39985	15938
715	40068	15893
716	40140	15843
717	40216	15795
718	40299	15749
719	40380	15703
720	40473	15661
721	40558	15616
722	40632	15567
723	40712	15520
724	40805	15477
725	40871	15425
726	40946	15376
727	41007	15321
728	41104	15280
729	41185	15232
730	41271	15187
731	41344	15137
732	41440	15094
733	41508	15042
734	41594	14996
735	41666	14945
736	41751	14899
737	41833	14851
738	41916	14804
739	42002	14757
740	42084	14709
741	42159	14659
742	42235	14608
743	42300	14555
744	42386	14507
745	42501	14471
746	42580	14421
747	42648	14368
748	42744	14324
749	42823	14274
750	42902	14224
751	42978	14173
752	43057	14123
753	43137	14074
754	43205	14020
755	43270	13965
756	43372	13922
757	43432	13866
758	43522	13819
759	43606	13770
760	43665	13713
761	43728	13657
762	43786	13600
763	43860	13548
764	43929	13494
765	43988	13437
766	44037	13377
767	44095	13320
768	44155	13263
769	44227	13210
770	44302	13158
771	44365	13102
772	44429	13047
773	44484	12989
774	44549	12933
775	44615	12878
776	44681	12823
777	44748	12768
778	44812	12713
